"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code"
1812301,"Dongqinghu","Dongqinghu","Dongqinghu,Tung-ch'ing-hu,Tung-ch’ing-hu",37.98333,104.13333,"P","PPL"
1813554,"Dashibian","Dashibian","",37.83333,108.76667,"P","PPL"
1813615,"Darihin Sum","Darihin Sum","Darihin Sum,Ta-li-k'o-miao,Ta-li-k’o-miao",39.8,104.43333,"P","PPL"
1813621,"Darbagai","Darbagai","",39.96667,108.05,"P","PPL"
1814148,"Dajing","Dajing","",37.73333,104.3,"P","PPL"
1814438,"Dafanpu","Dafanpu","",39.82417,111.16611,"P","PPL"
1814530,"Dachechang","Dachechang","Dachechang,Ta-ch'e-ch'ang,Ta-ch’e-ch’ang",39.41667,101.05,"P","PPL"
1814575,"Dabqig","Dabqig","Dabqig,Dabuchake Zhen,Ta-pu-ch'a-k'o,Ta-pu-ch'a-k'o-chen,Ta-pu-ch'an,Ta-pu-ch’a-k’o,Ta-pu-ch’a-k’o-chen,Ta-pu-ch’an,Uxin Qi,Wu-shen-ch'i,Wu-shen-ch’i,Wushen Qi,da bu cha ke,da bu cha ke zhen,wu shen qi,乌审旗,达布察克,达布察克镇",38.59278,108.84694,"P","PPL"
1815298,"Chengchuan","Chengchuan","Ch'eng-ch'uan-chiao-t'ang,Chengchuan,Ch’eng-ch’uan-chiao-t’ang",37.7,108.26667,"P","PPL"
1815523,"Changtan","Changtan","",39.60528,111.16,"P","PPL"
1815635,"Changliushui","Changliushui","",38.41667,105.7,"P","PPL"
1815713,"Changhu","Changhu","",38.31667,104.05,"P","PPL"
1816215,"Damiao","Damiao","Bulag,Damiao,Harbatan",38.49361,107.22417,"P","PPL"
1816270,"Bor Huxu","Bor Huxu","",38.88333,107.7,"P","PPL"
1816430,"Benjing","Benjing","Benjing,Pen-ching",39.38639,105.91556,"P","PPL"
1816748,"Beida Shan","Beida Shan","",39.56667,101.2,"T","MTS"
1816756,"Beidachi","Beidachi","Beidachi,Pei-ta-ch'ih,Pei-ta-ch’ih",37.97111,107.46639,"P","PPL"
1816757,"Beida Chi","Beida Chi","Beida Chi,bei da chi,北大池",37.95849,107.44185,"H","LK"
1816817,"Bayan Us","Bayan Us","",39.23333,107.76667,"P","PPL"
1816818,"Bayan Tolgoi","Bayan Tolgoi","Bayan Tolgoi,Tao-lao-a-kuei Miao",39.1075,107.53917,"P","PPL"
1816819,"Bayan Tohoi","Bayan Tohoi","Bayan Tohoi,Pa-yin-t'ao-hai,Pa-yin-t’ao-hai",39.18389,106.86611,"P","PPL"
1816820,"Bayan Nur","Bayan Nur","Bayan Nur,Pa-yen-nao-erh",38.23333,103.93333,"P","PPL"
1816821,"Bayan Hot","Bayan Hot","A-la-shan-ch'i,A-la-shan-ch’i,A-la-shan-tso-ch'i,A-la-shan-tso-ch’i,Alashanzuo Qi,Alxa Zuoqi,Bayan Hot,Bayanhaote Zhen,Bayenhot,Bayinhot,Pa-yen-hao-t'e,Pa-yen-hao-t'e-chen,Pa-yen-hao-t'e-shih,Pa-yen-hao-t’e,Pa-yen-hao-t’e-chen,Pa-yen-hao-t’e-shih,Pa-yin-hao-t'e,Pa-yin-hao-t’e,Ting-yuan-ying,Ting-yüan-ying,Tszokhushechzhitszyuy,Tszökhushechzhitszyuy,Tzu-hu,Tzu-hu-she-chih-chu,Tzu-hu-she-chih-chü,a la shan zuo qi,ba yan hao te,ba yan hao te zhen,巴彦浩特,巴彦浩特镇,阿拉善左旗",38.83861,105.66861,"P","PPLA3"
1816826,"Bayan Borog","Bayan Borog","",39.36667,101.93333,"P","PPL"
1817158,"Baldai","Baldai","",39.36667,106.25,"P","PPL"
1817250,"Baiyanjing","Baiyanjing","Baiyanjing,Pai-yen-ching",39.68861,107.57556,"P","PPL"
1817624,"Baijiji","Baijiji","",39.25,101.41667,"P","PPL"
1817818,"Bag Nur","Bag Nur","Bag Nur,Pa-han-nao",39.31,109.25778,"H","LK"
